service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
FriTermO,0,0,0,0,0,0,0,20250824,20260124
FriVac,0,0,0,0,0,0,0,20250824,20260124
FridayO,0,0,0,0,0,0,0,20250824,20260124
MonFriAll,0,0,0,0,0,0,0,20250824,20260124
MonFriTerm,0,0,0,0,0,0,0,20250824,20260124
MonFriVac,0,0,0,0,0,0,0,20250824,20260124
MonThurs,0,0,0,0,0,0,0,20250824,20260124
MonThursTerm,0,0,0,0,0,0,0,20250824,20260124
MonThursVac,0,0,0,0,0,0,0,20250824,20260124
MonTueThurTerm,0,0,0,0,0,0,0,20250824,20260124
SatO,0,0,0,0,0,0,0,20250824,20260124
SunPH,0,0,0,0,0,0,0,20250824,20260124
WedTermO,0,0,0,0,0,0,0,20250824,20260124
