service_id,date,exception_type
FriTermO,20250829,1
FriTermO,20250905,1
FriTermO,20250912,1
FriTermO,20250919,1
FriTermO,20250926,1
FriTermO,20251017,1
FriTermO,20251024,1
FriTermO,20251031,1
FriTermO,20251107,1
FriTermO,20251114,1
FriTermO,20251121,1
FriTermO,20251128,1
FriTermO,20251205,1
FriTermO,20251212,1
FriVac,20251003,1
FriVac,20251010,1
FriVac,20251219,1
FriVac,20260102,1
FriVac,20260109,1
FriVac,20260116,1
FriVac,20260123,1
FridayO,20250829,1
FridayO,20250905,1
FridayO,20250912,1
FridayO,20250919,1
FridayO,20250926,1
FridayO,20251003,1
FridayO,20251010,1
FridayO,20251017,1
FridayO,20251024,1
FridayO,20251031,1
FridayO,20251107,1
FridayO,20251114,1
FridayO,20251121,1
FridayO,20251128,1
FridayO,20251205,1
FridayO,20251212,1
FridayO,20251219,1
FridayO,20260102,1
FridayO,20260109,1
FridayO,20260116,1
FridayO,20260123,1
MonFriAll,20250825,1
MonFriAll,20250826,1
MonFriAll,20250827,1
MonFriAll,20250828,1
MonFriAll,20250829,1
MonFriAll,20250901,1
MonFriAll,20250902,1
MonFriAll,20250903,1
MonFriAll,20250904,1
MonFriAll,20250905,1
MonFriAll,20250908,1
MonFriAll,20250909,1
MonFriAll,20250910,1
MonFriAll,20250911,1
MonFriAll,20250912,1
MonFriAll,20250915,1
MonFriAll,20250916,1
MonFriAll,20250917,1
MonFriAll,20250918,1
MonFriAll,20250919,1
MonFriAll,20250922,1
MonFriAll,20250923,1
MonFriAll,20250924,1
MonFriAll,20250925,1
MonFriAll,20250926,1
MonFriAll,20250929,1
MonFriAll,20250930,1
MonFriAll,20251001,1
MonFriAll,20251002,1
MonFriAll,20251003,1
MonFriAll,20251006,1
MonFriAll,20251007,1
MonFriAll,20251008,1
MonFriAll,20251009,1
MonFriAll,20251010,1
MonFriAll,20251013,1
MonFriAll,20251014,1
MonFriAll,20251015,1
MonFriAll,20251016,1
MonFriAll,20251017,1
MonFriAll,20251020,1
MonFriAll,20251021,1
MonFriAll,20251022,1
MonFriAll,20251024,1
MonFriAll,20251027,1
MonFriAll,20251028,1
MonFriAll,20251029,1
MonFriAll,20251030,1
MonFriAll,20251031,1
MonFriAll,20251103,1
MonFriAll,20251104,1
MonFriAll,20251105,1
MonFriAll,20251106,1
MonFriAll,20251107,1
MonFriAll,20251110,1
MonFriAll,20251111,1
MonFriAll,20251112,1
MonFriAll,20251113,1
MonFriAll,20251114,1
MonFriAll,20251117,1
MonFriAll,20251118,1
MonFriAll,20251119,1
MonFriAll,20251120,1
MonFriAll,20251121,1
MonFriAll,20251124,1
MonFriAll,20251125,1
MonFriAll,20251126,1
MonFriAll,20251127,1
MonFriAll,20251128,1
MonFriAll,20251201,1
MonFriAll,20251202,1
MonFriAll,20251203,1
MonFriAll,20251204,1
MonFriAll,20251205,1
MonFriAll,20251208,1
MonFriAll,20251209,1
MonFriAll,20251210,1
MonFriAll,20251211,1
MonFriAll,20251212,1
MonFriAll,20251215,1
MonFriAll,20251216,1
MonFriAll,20251217,1
MonFriAll,20251218,1
MonFriAll,20251219,1
MonFriAll,20251222,1
MonFriAll,20251223,1
MonFriAll,20251224,1
MonFriAll,20251229,1
MonFriAll,20251230,1
MonFriAll,20251231,1
MonFriAll,20260102,1
MonFriAll,20260105,1
MonFriAll,20260106,1
MonFriAll,20260107,1
MonFriAll,20260108,1
MonFriAll,20260109,1
MonFriAll,20260112,1
MonFriAll,20260113,1
MonFriAll,20260114,1
MonFriAll,20260115,1
MonFriAll,20260116,1
MonFriAll,20260119,1
MonFriAll,20260120,1
MonFriAll,20260121,1
MonFriAll,20260122,1
MonFriAll,20260123,1
MonFriTerm,20250825,1
MonFriTerm,20250826,1
MonFriTerm,20250827,1
MonFriTerm,20250828,1
MonFriTerm,20250829,1
MonFriTerm,20250901,1
MonFriTerm,20250902,1
MonFriTerm,20250903,1
MonFriTerm,20250904,1
MonFriTerm,20250905,1
MonFriTerm,20250908,1
MonFriTerm,20250909,1
MonFriTerm,20250910,1
MonFriTerm,20250911,1
MonFriTerm,20250912,1
MonFriTerm,20250915,1
MonFriTerm,20250916,1
MonFriTerm,20250917,1
MonFriTerm,20250918,1
MonFriTerm,20250919,1
MonFriTerm,20250922,1
MonFriTerm,20250923,1
MonFriTerm,20250924,1
MonFriTerm,20250925,1
MonFriTerm,20250926,1
MonFriTerm,20251013,1
MonFriTerm,20251014,1
MonFriTerm,20251015,1
MonFriTerm,20251016,1
MonFriTerm,20251017,1
MonFriTerm,20251020,1
MonFriTerm,20251021,1
MonFriTerm,20251022,1
MonFriTerm,20251024,1
MonFriTerm,20251027,1
MonFriTerm,20251028,1
MonFriTerm,20251029,1
MonFriTerm,20251030,1
MonFriTerm,20251031,1
MonFriTerm,20251103,1
MonFriTerm,20251104,1
MonFriTerm,20251105,1
MonFriTerm,20251106,1
MonFriTerm,20251107,1
MonFriTerm,20251110,1
MonFriTerm,20251111,1
MonFriTerm,20251112,1
MonFriTerm,20251113,1
MonFriTerm,20251114,1
MonFriTerm,20251117,1
