route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
F2,DFS,F2,Derwent Ferry,,3,,FFFFFF,000000
H402,MTS,402,,,3,,008000,FFFFFF
H407,MTS,407,,,3,,008000,FFFFFF
H408,MTS,408,,,3,,008000,FFFFFF
H409,MTS,409,,,3,,008000,FFFFFF
H410,MTS,410,,,3,,008000,FFFFFF
H411,MTS,411,,,3,,008000,FFFFFF
H412,MTS,412,,,3,,008000,FFFFFF
H413,MTS,413,,,3,,008000,FFFFFF
H415,MTS,415,,,3,,008000,FFFFFF
H416,MTS,416,,,3,,008000,FFFFFF
H417,MTS,417,,,3,,008000,FFFFFF
H418,MTS,418,,,3,,008000,FFFFFF
H422,MTS,422,,,3,,008000,FFFFFF
H426,MTS,426,,,3,,008000,FFFFFF
H427,MTS,427,,,3,,008000,FFFFFF
H428,MTS,428,,,3,,008000,FFFFFF
H429,MTS,429,,,3,,008000,FFFFFF
H446,MTS,446,,,3,,008000,FFFFFF
H447,MTS,447,,,3,,008000,FFFFFF
H448,MTS,448,,,3,,008000,FFFFFF
H449,MTS,449,,,3,,008000,FFFFFF
H451,MTS,451,,,3,,008000,FFFFFF
H457,MTS,457,,,3,,008000,FFFFFF
H458,MTS,458,,,3,,008000,FFFFFF
H500,MTS,500,,,3,,008000,FFFFFF
H501,MTS,501,,,3,,008000,FFFFFF
H502,MTS,502,,,3,,008000,FFFFFF
H503,MTS,503,,,3,,008000,FFFFFF
H504,MTS,504,,,3,,008000,FFFFFF
H510,MTS,510,,,3,,008000,FFFFFF
H511,MTS,511,,,3,,008000,FFFFFF
H512,MTS,512,,,3,,008000,FFFFFF
H513,MTS,513,,,3,,008000,FFFFFF
H520,MTS,520,,,3,,008000,FFFFFF
H521,MTS,521,,,3,,008000,FFFFFF
H522,MTS,522,,,3,,008000,FFFFFF
H530,MTS,530,,,3,,008000,FFFFFF
H540,MTS,540,,,3,,008000,FFFFFF
H541,MTS,541,,,3,,008000,FFFFFF
H542,MTS,542,,,3,,008000,FFFFFF
H550,MTS,550,,,3,,008000,FFFFFF
H551,MTS,551,,,3,,008000,FFFFFF
H552,MTS,552,,,3,,008000,FFFFFF
H553,MTS,553,,,3,,008000,FFFFFF
H560,MTS,560,,,3,,008000,FFFFFF
H561,MTS,561,,,3,,008000,FFFFFF
H562,MTS,562,,,3,,008000,FFFFFF
H601,MTS,601,,,3,,008000,FFFFFF
H605,MTS,605,,,3,,008000,FFFFFF
H606,MTS,606,,,3,,008000,FFFFFF
H614,MTS,614,,,3,,008000,FFFFFF
H615,MTS,615,,,3,,008000,FFFFFF
H616,MTS,616,,,3,,008000,FFFFFF
H624,MTS,624,,,3,,008000,FFFFFF
H625,MTS,625,,,3,,008000,FFFFFF
H634,MTS,634,,,3,,008000,FFFFFF
H635,MTS,635,,,3,,008000,FFFFFF
H646,MTS,646,,,3,,008000,FFFFFF
H654,MTS,654,,,3,,008000,FFFFFF
H655,MTS,655,,,3,,008000,FFFFFF
H664,MTS,664,,,3,,008000,FFFFFF
H665,MTS,665,,,3,,008000,FFFFFF
H676,MTS,676,,,3,,008000,FFFFFF
H684,MTS,684,,,3,,008000,FFFFFF
H685,MTS,685,,,3,,008000,FFFFFF
H694,MTS,694,,,3,,008000,FFFFFF
H695,MTS,695,,,3,,008000,FFFFFF
H696,MTS,696,,,3,,008000,FFFFFF
HX01,MTS,X01,Huntingfield P&R Express,,3,,008000,FFFFFF
HX02,MTS,X02,,,3,,008000,FFFFFF
HX07,MTS,X07,Blackmans Bay Express,,3,,008000,FFFFFF
HX08,MTS,X08,Huntingfield Interpeak Express,,3,,008000,FFFFFF
HX10,MTS,X10,,,3,,008000,FFFFFF
HX11,MTS,X11,,,3,,008000,FFFFFF
HX13,MTS,X13,Snug Express,,3,,008000,FFFFFF
HX15,MTS,X15,,,3,,008000,FFFFFF
HX16,MTS,X16,,,3,,008000,FFFFFF
HX20,MTS,X20,,,3,,008000,FFFFFF
HX21,MTS,X21,,,3,,008000,FFFFFF
HX30,MTS,X30,,,3,,008000,FFFFFF
HX34,MTS,X34,,,3,,008000,FFFFFF
HX42,MTS,X42,,,3,,008000,FFFFFF
HX44,MTS,X44,Opossum Bay Express,,3,,008000,FFFFFF
HX45,MTS,X45,,,3,,008000,FFFFFF
HX50,MTS,X50,,,3,,008000,FFFFFF
HX58,MTS,X58,,,3,,008000,FFFFFF
HX64,MTS,X64,,,3,,008000,FFFFFF
HX65,MTS,X65,,,3,,008000,FFFFFF
R731,RDL,731,Sorell via Midway Point,,3,,FFFFFF,000000
R732,RDL,732,Carlton & Dodges Ferry,,3,,FFFFFF,000000
RX31,RDL,X31,Sorell Express,,3,,FFFFFF,000000
RX32,RDL,X32,Dodges Ferry Express,,3,,FFFFFF,000000
RX33,RDL,X33,Sorell via Rosny Park Express,,3,,FFFFFF,000000
T709,TL,799,Hobart College to Kingston,,3,,FFFFFF,000000
T710,TL,710,,,3,,FFFFFF,000000
T711,TL,711,Kingston to Ranelagh via Huonville,,3,,FFFFFF,000000
T712,TL,712,Huonville (Ranelagh),,3,,FFFFFF,000000
T714,TL,714,Cygnet to Hobart via Huonville,,3,,FFFFFF,000000
T715,TL,715,Cygnet to Kingston via Huonville,,3,,FFFFFF,000000
T716,TL,716,Geeveston,,3,,FFFFFF,000000
T718,TL,718,Dover,,3,,FFFFFF,000000
T719,TL,719,Dover via Ranelagh,,3,,FFFFFF,000000
T725,TL,725,Richmond,,3,,FFFFFF,000000
T726,TL,726,Campania,,3,,FFFFFF,000000
T730,TL,730,Strahan to Cradle Mountain,,3,,FFFFFF,000000
T734,TL,734,Nubeena & Port Arthur,,3,,FFFFFF,000000
T736,TL,736,Swansea,,3,,FFFFFF,000000
T737,TL,737,Bicheno,,3,,FFFFFF,000000
T745,TL,745,Bicheno-Coles Bay,,3,,FFFFFF,000000
T747,TL,747,Queenstown to Burnie,,3,,FFFFFF,000000
T748,TL,748,Queenstown to Strahan,,3,,FFFFFF,000000
TX710,TL,X710,Huonville Express,,3,,FFFFFF,000000
V720,DVC,720,New Norfolk to Glenorchy All Stops,,3,,FFFFFF,000000
V722,DVC,722,New Norfolk to City All Stops,,3,,FFFFFF,000000
VX22,DVC,X22,New Norfolk Express,,3,,FFFFFF,000000
VX23,DVC,X23,,,3,,FFFFFF,000000
