from_stop_id,to_stop_id,transfer_type,min_transfer_time
521,521,3,
655,655,3,
679,679,3,
681,681,3,
682,682,3,
683,683,3,
684,684,3,
685,685,3,
688,688,3,
705,705,3,
734,734,3,
759,759,3,
774,774,3,
775,775,3,
777,777,3,
778,778,3,
779,779,3,
780,780,3,
781,781,3,
782,782,3,
784,784,3,
785,785,3,
789,789,2,0
862,862,3,
1189,1189,3,
1204,1204,3,
1225,1225,3,
1226,1226,3,
1238,1238,3,
1239,1239,3,
1240,1240,3,
1264,1264,3,
1265,1265,3,
1267,1267,3,
1268,1268,3,
1269,1269,3,
1294,1294,2,0
1313,1313,3,
1317,1317,3,
1318,1318,3,
1320,1320,3,
1321,1321,3,
1322,1322,3,
1323,1323,3,
1324,1324,3,
1474,1474,2,0
1792,1792,2,0
1885,1885,2,0
1924,1924,2,0
2183,2183,2,0
2236,2236,2,0
2389,2393,2,1
2389,4118,2,0
2389,3443,2,1
2389,2392,2,1
2389,2391,2,1
2389,2390,2,1
2389,4086,2,1
2389,2389,0,
2390,2393,2,1
2390,4118,2,1
2390,2389,2,1
2390,3443,2,1
2390,2392,2,1
2390,2391,2,1
2390,4086,2,1
2391,2393,2,1
2391,4118,2,1
2391,2389,2,1
2391,3443,2,1
2391,2392,2,1
2391,2390,2,1
2391,4086,2,1
2392,2390,2,1
2392,2393,2,1
2392,4086,2,1
2392,4118,2,1
2392,2389,2,1
2392,3443,2,1
2392,2391,2,1
2393,4118,2,1
2393,2389,2,1
2393,3443,2,1
2393,2392,2,1
2393,2391,2,1
2393,2390,2,1
2393,4086,2,1
2394,2396,2,0
2394,2395,2,0
2394,2398,2,0
2394,3444,2,0
2394,2399,2,0
2395,2396,2,0
2395,2394,2,0
2395,2398,2,0
2395,3444,2,0
2395,2399,2,0
2396,2395,2,0
2396,2394,2,0
2396,2398,2,0
2396,3444,2,0
2396,2399,2,0
2398,2396,2,0
2398,2395,2,0
2398,2394,2,0
2398,3444,2,0
2398,2399,2,0
2399,2396,2,0
2399,2395,2,0
2399,2394,2,0
2399,2398,2,0
2399,3444,2,0
2785,2785,2,0
3443,2393,2,0
3443,4118,2,0
3443,2389,2,0
3443,2392,2,0
3443,2391,2,0
3443,2390,2,0
3443,4086,2,0
3443,3443,0,
3444,2396,2,0
3444,2395,2,0
3444,2394,2,0
3444,2398,2,0
3444,2399,2,0
3450,3450,3,
3836,10102003,2,0
3836,10102002,2,0
3836,10102001,2,0
3836,10102004,2,0
3836,10102005,2,0
3836,3927,2,0
3836,2412,2,5
3927,2412,2,5
3898,3898,3,
3899,3899,3,
3927,10102003,2,0
3927,10102002,2,0
3927,10102001,2,0
3927,10102004,2,0
3927,10102005,2,0
4086,2393,2,0
4086,4118,2,0
4086,2389,2,0
4086,3443,2,0
4086,2392,2,0
4086,2391,2,0
4086,2390,2,0
4118,2393,2,0
4118,2389,2,0
4118,3443,2,0
4118,2392,2,0
4118,2391,2,0
4118,2390,2,0
4118,4086,2,0
4322,4322,2,0
10102003,10102002,2,0
10102003,10102001,2,0
10102003,10102004,2,0
10102003,10102005,2,0
10102003,3927,2,0
