route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
H408,SatO,[@2.0.103565083@][1][1436583026933]/1,Hobart City,0,,[@2.0.103565083@]1,1
H408,SatO,[@2.0.103565083@][1][1436583026933]/10,Hobart City,0,,[@2.0.103565083@]1,1
H408,SatO,[@2.0.103565083@][1][1436583026933]/11,Hobart City,0,,[@2.0.103565083@]1,1
H408,SatO,[@2.0.103565083@][1][1436583026933]/2,Hobart City,0,,[@2.0.103565083@]1,1
H408,SatO,[@2.0.103565083@][1][1436583026933]/3,Hobart City,0,,[@2.0.103565083@]1,1
H408,SatO,[@2.0.103565083@][1][1436583026933]/4,Hobart City,0,,[@2.0.103565083@]1,1
H408,SatO,[@2.0.103565083@][1][1436583026933]/5,Hobart City,0,,[@2.0.103565083@]1,1
H408,SatO,[@2.0.103565083@][1][1436583026933]/6,Hobart City,0,,[@2.0.103565083@]1,1
H408,SatO,[@2.0.103565083@][1][1436583026933]/7,Hobart City,0,,[@2.0.103565083@]1,1
H408,SatO,[@2.0.103565083@][1][1436583026933]/8,Hobart City,0,,[@2.0.103565083@]1,1
H408,SatO,[@2.0.103565083@][1][1436583026933]/9,Hobart City,0,,[@2.0.103565083@]1,1
H408,SatO,[@2.0.103565083@][1][1439503417763]/0,Hobart City,0,,[@2.0.103565083@]1,1
H408,SatO,[@2.0.103565083@][2][1436583197099]/24,Blackmans Bay,1,,[@2.0.103565083@]2,1
H408,SatO,[@2.0.103565083@][2][1436583197099]/25,Blackmans Bay,1,,[@2.0.103565083@]2,1
H408,SatO,[@2.0.103565083@][2][1436583197099]/26,Blackmans Bay,1,,[@2.0.103565083@]2,1
H408,SatO,[@2.0.103565083@][2][1436583197099]/27,Blackmans Bay,1,,[@2.0.103565083@]2,1
H408,SatO,[@2.0.103565083@][2][1436583197099]/28,Blackmans Bay,1,,[@2.0.103565083@]2,1
H408,SatO,[@2.0.103565083@][2][1436583197099]/29,Blackmans Bay,1,,[@2.0.103565083@]2,1
H408,SatO,[@2.0.103565083@][2][1436583197099]/30,Blackmans Bay,1,,[@2.0.103565083@]2,1
H408,SatO,[@2.0.103565083@][2][1436583197099]/31,Blackmans Bay,1,,[@2.0.103565083@]2,1
H408,SatO,[@2.0.103565083@][2][1436583197099]/32,Blackmans Bay,1,,[@2.0.103565083@]2,1
H408,SatO,[@2.0.103565083@][2][1436583197099]/33,Blackmans Bay,1,,[@2.0.103565083@]2,1
H408,SatO,[@2.0.103565083@][2][1436583197099]/34,Blackmans Bay,1,,[@2.0.103565083@]2,1
H407,SatO,[@2.0.103565715@][1][1436580778828]/47,Hobart City,1,,[@2.0.103565715@]1,1
H407,SatO,[@2.0.103565715@][1][1436580778828]/48,Hobart City,1,,[@2.0.103565715@]1,1
H407,SatO,[@2.0.103565715@][1][1436580778828]/49,Hobart City,1,,[@2.0.103565715@]1,1
H407,SatO,[@2.0.103565715@][1][1436580778828]/50,Hobart City,1,,[@2.0.103565715@]1,1
H407,SatO,[@2.0.103565715@][1][1436580778828]/51,Hobart City,1,,[@2.0.103565715@]1,1
H407,SatO,[@2.0.103565715@][1][1436580778828]/52,Hobart City,1,,[@2.0.103565715@]1,1
H407,SatO,[@2.0.103565715@][1][1436580778828]/53,Hobart City,1,,[@2.0.103565715@]1,1
